iter	Passed	Remaining
0	922	9222406
1	1737	8684836
2	2581	8602717
3	3342	8353867
4	4127	8250448
5	4870	8112318
6	5667	8090196
7	6409	8005563
8	7138	7924902
9	7885	7877588
10	8602	7811804
11	9328	7764678
12	10080	7744405
13	10789	7696130
14	11495	7652278
15	12209	7618587
16	12906	7579050
17	13631	7559676
18	14371	7549494
19	15084	7526931
20	15803	7509661
21	16537	7500360
22	17259	7486946
23	17940	7457161
24	18641	7437918
25	19336	7417609
26	20087	7419659
27	20800	7407782
28	21490	7388856
29	22183	7372222
30	22889	7360932
31	23653	7368206
32	24415	7374185
33	25173	7378654
34	25947	7387554
35	26714	7394006
36	27485	7400983
37	28302	7419755
38	29087	7429342
39	29912	7448234
40	30657	7446753
41	31507	7470389
42	32326	7485372
43	33217	7516304
44	34022	7526607
45	34804	7531425
46	35622	7543573
47	36412	7549494
48	37203	7555404
49	37987	7559437
50	38831	7575274
51	39693	7593744
52	40484	7598155
53	41296	7606196
54	42053	7603983
55	42863	7611413
56	43668	7617461
57	44468	7622448
58	45232	7621367
59	46093	7636186
60	46925	7645840
61	47726	7650079
62	48518	7652901
63	49372	7665087
64	50144	7664462
65	51031	7681079
66	51850	7686990
67	52611	7684330
68	53390	7684403
69	54206	7689645
70	55046	7697974
71	55949	7714795
72	56752	7717497
73	57486	7711020
74	58304	7715575
75	59107	7718139
76	59848	7712703
77	60558	7703329
78	61316	7700304
79	62132	7704419
80	62962	7710207
81	63761	7712061
82	64543	7711735
83	65327	7711702
84	66081	7708227
85	66833	7704555
86	67659	7709284
87	68443	7709209
88	69220	7708393
89	69954	7702815
90	70740	7702961
91	71576	7708462
92	72376	7710088
93	73105	7704076
94	73941	7709348
95	74690	7705550
96	75456	7703603
97	76189	7698206
98	77045	7705329
99	77875	7709711
100	78613	7704937
101	79388	7703752
102	80215	7707731
103	81000	7707503
104	81767	7705615
105	82521	7702558
106	83313	7703007
107	84099	7702890
108	84874	7701801
109	85634	7699331
110	86434	7700453
111	87211	7699500
112	87988	7698593
113	88791	7699902
114	89562	7698455
115	90323	7696192
116	91063	7692160
117	91821	7689679
118	92610	7689767
119	93357	7686414
120	94090	7681974
121	94911	7684731
122	95760	7689613
123	96495	7685378
124	97192	7678199
125	97920	7673578
126	98673	7670854
127	99405	7666658
128	100131	7662026
129	100837	7655867
130	101600	7654134
131	102342	7650856
132	103095	7648438
133	103797	7642264
134	104512	7637172
135	105237	7632777
136	105978	7629703
137	106729	7627270
138	107482	7625101
139	108228	7622409
140	108984	7620409
141	109741	7618563
142	110484	7615727
143	111229	7613032
144	111949	7608706
145	112702	7606624
146	113475	7605972
147	114210	7602682
148	114951	7599928
149	115676	7596084
150	116409	7592813
151	117234	7595551
152	117987	7593631
153	118695	7588823
154	119426	7585533
155	120191	7584420
156	120973	7584349
157	121744	7583598
158	122519	7583116
159	123280	7581733
160	124072	7582309
161	124813	7579724
162	125539	7576287
163	126251	7571982
164	126954	7567284
165	127658	7562623
166	128386	7559437
167	129143	7557965
168	129897	7556351
169	130618	7552821
170	131328	7548722
171	132082	7547157
172	132831	7545277
173	133575	7543176
174	134303	7540197
175	135052	7538381
176	135841	7538821
177	136597	7537440
178	137325	7534497
179	138074	7532741
180	138831	7531401
181	139581	7529737
182	140366	7529917
183	141100	7527390
184	141809	7523545
185	142533	7520550
186	143299	7519750
187	144056	7518515
188	144767	7514891
189	145485	7511664
190	146175	7506980
191	146882	7503229
192	147605	7500343
193	148308	7496479
194	149011	7492591
195	149735	7489821
196	150494	7488825
197	151221	7486222
198	151981	7485256
199	152742	7484391
200	153473	7482008
201	154186	7478792
202	154883	7474853
203	155699	7476646
204	156437	7474638
205	157158	7471878
206	157884	7469396
207	158596	7466242
208	159310	7463215
209	160036	7460753
210	160750	7457768
211	161456	7454435
212	162221	7453831
213	162987	7453245
214	163692	7449904
215	164449	7448960
216	165181	7446853
217	165907	7444512
218	166658	7443319
219	167360	7439918
220	168059	7436463
221	168771	7433559
222	169557	7433913
223	170297	7432249
224	171026	7430164
225	171765	7428490
226	172527	7427823
227	173248	7425368
228	174032	7425646
229	174774	7424134
230	175520	7422758
231	176288	7422346
232	177056	7421926
233	177858	7422944
234	178617	7422109
235	179355	7420450
236	180090	7418666
237	180823	7416808
238	181550	7414690
239	182250	7411523
240	182993	7410093
241	183736	7408661
242	184487	7407608
243	185182	7404267
244	185898	7401814
245	186616	7399420
246	187329	7396870
247	188063	7395125
248	188796	7393383
249	189512	7390970
250	190221	7388315
251	190951	7386495
252	191669	7384207
253	192374	7381434
254	193093	7379198
255	193852	7378527
256	194551	7375527
257	195246	7372440
258	196022	7372411
259	196740	7370183
260	197459	7368045
261	198230	7367818
262	199009	7367898
263	199793	7368157
264	200543	7367133
265	201379	7369263
266	202197	7370756
267	202963	7370319
268	203706	7369016
269	204458	7368078
270	205192	7366501
271	205955	7365923
272	206698	7364665
273	207525	7366387
274	208293	7366002
275	209115	7367550
276	209965	7370008
277	210788	7371531
278	211600	7372642
279	212519	7377447
280	213325	7378341
281	214243	7383048
282	215361	7394580
283	216196	7396340
284	216942	7395082
285	217668	7393128
286	218430	7392385
287	219155	7390402
288	219883	7388532
289	220627	7387223
290	221522	7390919
291	222395	7393880
292	223242	7395971
293	224078	7397653
294	224837	7396769
295	225638	7397272
296	226403	7396612
297	227195	7396816
298	227937	7395403
299	228717	7395186
300	229428	7392791
301	230147	7390639
302	230916	7390100
303	231622	7387525
304	232333	7385143
305	233024	7382149
306	233708	7378944
307	234402	7376077
308	235100	7373328
309	235789	7370336
310	236517	7368533
311	237256	7367114
312	238062	7367764
313	238856	7368031
314	239594	7366589
315	240309	7364428
316	241046	7362936
317	241825	7362759
318	242651	7363969
319	243399	7362836
320	244088	7359906
321	244789	7357367
322	245487	7354747
323	246174	7351816
324	246871	7349179
325	247551	7346056
326	248240	7343202
327	248926	7340310
328	249612	7337388
329	250311	7334885
330	251000	7332092
331	251687	7329271
332	252446	7328525
333	253151	7326236
334	253814	7322747
335	254481	7319366
336	255162	7316438
337	255833	7313212
338	256506	7310060
339	257207	7307721
340	257883	7304690
341	258580	7302266
342	259306	7300645
343	260002	7298217
344	260679	7295246
345	261371	7292707
346	262065	7290255
347	262742	7287317
348	263415	7284303
349	264117	7282106
350	264827	7280115
351	265529	7277935
352	266234	7275827
353	266900	7272652
354	267572	7269692
355	268278	7267623
356	268973	7265291
357	269684	7263404
358	270410	7261921
359	271111	7259762
360	271815	7257699
361	272517	7255602
362	273223	7253597
363	273926	7251538
364	274624	7249344
365	275318	7247040
366	275998	7244393
367	276681	7241839
368	277431	7241049
369	278168	7239911
370	278919	7239134
371	279763	7240754
372	280540	7240654
373	281255	7238937
374	281962	7237031
375	282660	7234908
376	283385	7233478
377	284131	7232583
378	284818	7230182
379	285510	7227913
380	286216	7226026
381	286970	7225344
382	287686	7223718
383	288399	7221994
384	289092	7219794
385	289787	7217663
386	290495	7215843
387	291211	7214227
388	291926	7212600
389	292612	7210270
390	293357	7209393
391	294112	7208754
392	294825	7207100
